,Team,Day,EFG,TOV,ORB,FTFGA,O_Team,Won,O_Team_url
0,Akron,11,0.584905660377,0.161637931034,0.733333333333,0.22641509434,UMBC,1,umbc
26,Akron,17,0.466666666667,0.154400411734,0.648648648649,0.166666666667,USC,1,usc
77,Akron,29,0.508928571429,0.162262401484,0.8125,0.428571428571,Ark Pine Bluff,1,ark-pine-bluff
97,Akron,31,0.554545454545,0.125139043382,0.903225806452,0.218181818182,W Illinois,1,w-illinois
138,Akron,61,0.5,0.120948234156,0.69696969697,0.253968253968,Coppin St,1,coppin-st
161,Akron,64,0.571428571429,0.127262443439,0.758620689655,0.142857142857,W Michigan,1,w-michigan
174,Akron,72,0.636363636364,0.231080300404,0.641025641026,0.25,Bowling Green,1,bowling-green
184,Akron,75,0.566666666667,0.161364684186,0.821428571429,0.233333333333,C Michigan,1,c-michigan
192,Akron,85,0.481818181818,0.17955801105,0.862068965517,0.109090909091,Ball St,1,ball-st
225,Akron,99,0.454545454545,0.0755743651753,0.655172413793,0.2,Kent,1,kent
256,Akron,126,0.647058823529,0.217391304348,0.655172413793,0.196078431373,N Illinois,1,n-illinois
292,Alabama,14,0.489795918367,0.181862269641,0.611111111111,0.65306122449,W Carolina,1,w-carolina
309,Alabama,17,0.663265306122,0.193798449612,0.84375,0.326530612245,Southern Miss,1,southern-miss
329,Alabama,22,0.5,0.125418060201,0.75,0.52,Arizona St,1,arizona-st
385,Alabama,48,0.446428571429,0.148568341437,0.675675675676,0.178571428571,Appalachian St,1,appalachian-st
498,Alabama,99,0.375,0.127334465195,0.75,0.307692307692,Mississippi St,1,mississippi-st
517,Arizona,11,0.611111111111,0.109589041096,0.903225806452,0.222222222222,Mt St Mary's,1,mt-st-marys
532,Arizona,13,0.615384615385,0.210772833724,0.846153846154,0.423076923077,CS Northridge,1,cs-northridge
556,Arizona,16,0.4375,0.171142706688,0.787878787879,0.604166666667,UC Irvine,1,uc-irvine
569,Arizona,22,0.577777777778,0.161007025761,0.814814814815,0.444444444444,Kansas St,1,kansas-st
586,Arizona,23,0.394230769231,0.149537792278,0.75,0.384615384615,San Diego St,1,san-diego-st
663,Arizona,46,0.511363636364,0.234676974047,0.657894736842,0.340909090909,UTEP,1,utep
737,Arizona,88,0.448979591837,0.211148648649,0.774193548387,0.265306122449,Oregon St,1,oregon-st
766,Arizona,104,0.603174603175,0.132850241546,0.911764705882,0.15873015873,Washington St,1,washington-st
784,Arizona,136,0.650943396226,0.156087408949,0.777777777778,0.452830188679,TX Southern,1,tx-southern
797,Arizona,138,0.420634920635,0.0980872976949,0.827586206897,0.31746031746,Ohio St,1,ohio-st
822,Arizona St,11,0.683673469388,0.14674493063,0.675675675676,0.387755102041,Chicago St,1,chicago-st
867,Arizona St,17,0.577777777778,0.224971878515,0.738095238095,0.355555555556,Loy Marymount,1,loy-marymount
907,Arizona St,30,0.524193548387,0.105042016807,0.842105263158,0.193548387097,UNLV,1,unlv
935,Arizona St,50,0.62962962963,0.19477543538,0.714285714286,0.462962962963,Detroit,1,detroit
1144,Army,84,0.544642857143,0.137741046832,0.909090909091,0.125,American Univ,1,american-univ
1160,Army,87,0.528846153846,0.199044585987,0.741935483871,0.307692307692,Boston Univ,1,boston-univ
1177,Auburn,11,0.528846153846,0.147856086742,0.766666666667,0.538461538462,WI Milwaukee,1,wi-milwaukee
1193,Auburn,18,0.628787878788,0.112663361875,0.642857142857,0.333333333333,ULL,1,ull
1219,Auburn,56,0.581395348837,0.240929705215,0.739130434783,0.325581395349,MTSU,1,mtsu
1235,Auburn,94,0.5,0.161141804788,0.589743589744,0.327868852459,LSU,1,lsu
1258,Baylor,11,0.577586206897,0.17048222114,0.777777777778,0.224137931034,McNeese St,1,mcneese-st
1292,Baylor,21,0.490566037736,0.169801462905,0.764705882353,0.283018867925,SF Austin,1,sf-austin
1324,Baylor,44,0.450819672131,0.113579000505,0.785714285714,0.180327868852,New Mexico St,1,new-mexico-st
1335,Baylor,49,0.48,0.170603674541,0.648648648649,0.44,Southern Univ,1,southern-univ
1352,Baylor,57,0.558823529412,0.112917795845,0.636363636364,0.235294117647,Norfolk St,1,norfolk-st
1365,Baylor,68,0.30701754386,0.124660018132,0.675,0.543859649123,TCU,1,tcu
1380,Baylor,72,0.492857142857,0.109649122807,0.75,0.0714285714286,Iowa St,1,iowa-st
1488,Boise St,33,0.647058823529,0.105485232068,0.611111111111,0.313725490196,St Mary's CA,1,st-marys-ca
1516,Boise St,47,0.692307692308,0.180072028812,0.744186046512,0.0961538461538,Abilene Chr,1,abilene-chr
1572,Boise St,79,0.607692307692,0.101061141991,0.90625,0.107692307692,San Jose St,1,san-jose-st
1600,Boise St,85,0.548387096774,0.0920568122041,0.548387096774,0.225806451613,Colorado St,1,colorado-st
1606,Boise St,92,0.564814814815,0.118133490845,0.851851851852,0.12962962963,Utah St,1,utah-st
1641,Boise St,124,0.561224489796,0.165654334622,0.72,0.326530612245,Fresno St,1,fresno-st
1682,Boston College,56,0.633333333333,0.173282923756,0.8,0.288888888889,MA Lowell,1,ma-lowell
1718,Boston College,117,0.647727272727,0.174520069808,0.636363636364,0.5,NC State,1,nc-state
1773,Brown,11,0.560975609756,0.205278592375,0.609756097561,0.585365853659,St Peter's,1,st-peters
1791,Brown,49,0.55,0.269092772937,0.763157894737,0.24,Central Conn,1,central-conn
1848,Brown,103,0.540816326531,0.143760782059,0.766666666667,0.367346938776,Penn,1,penn
1884,Bucknell,22,0.521276595745,0.268210050819,0.8,0.191489361702,MD E Shore,1,md-e-shore
1992,Buffalo,11,0.330882352941,0.0896860986547,0.720930232558,0.352941176471,S Dakota St,1,s-dakota-st
2002,Buffalo,15,0.462962962963,0.21018215787,0.75,0.444444444444,UT Arlington,1,ut-arlington
2119,Buffalo,107,0.521276595745,0.203934740883,0.775,0.617021276596,E Michigan,1,e-michigan
2146,BYU,11,0.62037037037,0.198783910196,0.727272727273,0.518518518519,Long Beach St,1,long-beach-st
2163,BYU,15,0.586956521739,0.123873873874,0.825,0.144927536232,Ark Little Rock,1,ark-little-rock
2181,BYU,26,0.718181818182,0.235732009926,0.807692307692,0.2,E Kentucky,1,e-kentucky
2205,BYU,40,0.673913043478,0.227401932916,0.764705882353,0.304347826087,Weber St,1,weber-st
2307,California,11,0.591549295775,0.0944287063267,0.694444444444,0.0985915492958,Alcorn St,1,alcorn-st
2332,California,13,0.663793103448,0.17764092847,0.8,0.275862068966,Kennesaw,1,kennesaw
2367,California,23,0.527272727273,0.0988700564972,0.888888888889,0.254545454545,Cal Poly SLO,1,cal-poly-slo
2407,California,46,0.617021276596,0.145180023229,0.852941176471,0.425531914894,E Washington,1,e-washington
2429,Charleston So,22,0.525,0.140845070423,0.777777777778,0.283333333333,Cent Arkansas,1,cent-arkansas
2547,Charleston So,77,0.508064516129,0.140449438202,0.733333333333,0.306451612903,UNC Asheville,1,unc-asheville
2574,Charleston So,100,0.580357142857,0.143453312467,0.677419354839,0.321428571429,Coastal Car,1,coastal-car
2593,Cincinnati,11,0.478260869565,0.250589622642,0.833333333333,0.173913043478,St Francis PA,1,st-francis-pa
2608,Cincinnati,16,0.460784313725,0.131648235914,0.709677419355,0.43137254902,Morehead St,1,morehead-st
2625,Cincinnati,20,0.43137254902,0.248041775457,0.794871794872,0.196078431373,E Illinois,1,e-illinois
2639,Cincinnati,22,0.523255813953,0.17639512508,0.857142857143,0.325581395349,NC Central,1,nc-central
2677,Cincinnati,61,0.536585365854,0.251572327044,0.703703703704,0.292682926829,SMU,1,smu
2713,Cincinnati,83,0.457446808511,0.113049095607,0.677419354839,0.276595744681,UCF,1,ucf
2852,Clemson,93,0.457446808511,0.188679245283,0.638888888889,0.404255319149,Florida St,1,florida-st
2931,Col Charleston,38,0.365384615385,0.143926309729,0.647058823529,0.230769230769,S Carolina St,1,s-carolina-st
3000,Colorado,40,0.755102040816,0.156873930405,0.657894736842,0.387755102041,N Colorado,1,n-colorado
3035,Connecticut,17,0.510638297872,0.180856983862,0.84,0.36170212766,Col Charleston,1,col-charleston
3199,Creighton,46,0.566666666667,0.173697270471,0.90625,0.116666666667,UTRGV,1,utrgv
3220,Creighton,86,0.536363636364,0.134698275862,0.75,0.327272727273,St John's,1,st-johns
3271,Dayton,26,0.596153846154,0.155104342922,0.795454545455,0.25,IL Chicago,1,il-chicago
3364,Dayton,75,0.47619047619,0.175131348511,0.875,0.5,St Louis,1,st-louis
3398,Dayton,108,0.555555555556,0.109580463369,0.777777777778,0.4,St Joseph's PA,1,st-josephs-pa
3416,Dayton,117,0.471153846154,0.123380629241,0.75,0.192307692308,VA Commonwealth,1,va-commonwealth
3435,Dayton,135,0.559523809524,0.185936443543,0.6875,0.214285714286,Boise St,1,boise-st
3500,Duke,15,0.61,0.115207373272,0.6,0.4,Michigan St,1,michigan-st
3582,E Kentucky,11,0.436507936508,0.159090909091,0.555555555556,0.333333333333,Savannah St,1,savannah-st
3637,E Kentucky,66,0.468085106383,0.0782717595492,0.733333333333,0.468085106383,TN Martin,1,tn-martin
3649,E Kentucky,68,0.530612244898,0.161955241461,0.666666666667,0.326530612245,SE Missouri St,1,se-missouri-st
3666,E Kentucky,75,0.630434782609,0.195968645017,0.545454545455,0.434782608696,Edwardsville,1,edwardsville
3693,E Kentucky,96,0.608695652174,0.183408577878,0.583333333333,0.45652173913,Tennessee St,1,tennessee-st
3741,E Kentucky,115,0.510638297872,0.169126691267,0.785714285714,0.31914893617,Jacksonville St,1,jacksonville-st
3774,E Washington,23,0.673076923077,0.188273265196,0.783783783784,0.211538461538,N Kentucky,1,n-kentucky
3806,E Washington,61,0.530612244898,0.177514792899,0.5,0.265306122449,Idaho St,1,idaho-st
3829,E Washington,73,0.6015625,0.1001001001,0.722222222222,0.234375,Portland St,1,portland-st
3865,E Washington,96,0.385964912281,0.125376128385,0.731707317073,0.298245614035,Montana St,1,montana-st
3888,E Washington,101,0.608695652174,0.247380675204,0.766666666667,0.173913043478,CS Sacramento,1,cs-sacramento
3899,Elon,11,0.451923076923,0.151348376445,0.793103448276,0.326923076923,FL Atlantic,1,fl-atlantic
3919,Elon,22,0.56,0.197368421053,0.619047619048,0.36,Morgan St,1,morgan-st
3943,Elon,47,0.552083333333,0.250375563345,0.612903225806,0.375,UNC Greensboro,1,unc-greensboro
3977,Elon,117,0.43,0.211366838891,0.720930232558,0.62,UNC Wilmington,1,unc-wilmington
3990,F Dickinson,63,0.547169811321,0.176500252143,0.793103448276,0.320754716981,Long Island,1,long-island
4037,Florida,18,0.355769230769,0.174825174825,0.780487804878,0.461538461538,ULM,1,ulm
4049,Florida,24,0.405660377358,0.112485939258,0.846153846154,0.245283018868,UAB,1,uab
4178,G Washington,52,0.606382978723,0.21998742929,0.676470588235,0.063829787234,Wichita St,1,wichita-st
4225,Gonzaga,29,0.605263157895,0.10435301133,0.739130434783,0.122807017544,SE Louisiana,1,se-louisiana
4248,Gonzaga,54,0.553846153846,0.118708452042,0.783783783784,0.230769230769,BYU,1,byu
4258,Gonzaga,137,0.577586206897,0.113464447806,0.916666666667,0.327586206897,N Dakota St,1,n-dakota-st
4280,Hawaii,12,0.531914893617,0.182196772514,0.59375,0.468085106383,CS Bakersfield,1,cs-bakersfield
4299,Hawaii,29,0.507462686567,0.122189638319,0.685714285714,0.10447761194,Delaware St,1,delaware-st
4316,Hawaii,80,0.593220338983,0.119236883943,0.65,0.237288135593,UC Davis,1,uc-davis
4322,Hawaii,101,0.491071428571,0.173783515392,0.775,0.321428571429,UC Riverside,1,uc-riverside
4339,Hawaii,103,0.586206896552,0.0839395635143,0.71875,0.224137931034,CS Fullerton,1,cs-fullerton
4374,High Point,66,0.537037037037,0.115141047784,0.8,0.259259259259,Charleston So,1,charleston-so
4385,Hofstra,25,0.669642857143,0.2002002002,0.736842105263,0.196428571429,Jackson St,1,jackson-st
4406,Houston,11,0.515625,0.182898948331,0.783783783784,0.171875,Murray St,1,murray-st
4411,Houston,43,0.53,0.178741658723,0.5,0.6,Houston Bap,1,houston-bap
4427,Houston,55,0.601851851852,0.214213709677,0.75,0.277777777778,MS Valley St,1,ms-valley-st
4472,Illinois,11,0.473214285714,0.112556278139,0.621621621622,0.482142857143,Ga Southern,1,ga-southern
4481,Illinois,24,0.492424242424,0.142356548401,0.942857142857,0.348484848485,Indiana St,1,indiana-st
4532,Illinois,89,0.452830188679,0.141884222474,0.565217391304,0.22641509434,Penn St,1,penn-st
4620,Indiana St,58,0.521276595745,0.305810397554,0.677419354839,0.297872340426,Illinois St,1,illinois-st
4644,Indiana St,65,0.63,0.15216068168,0.612903225806,0.16,Missouri St,1,missouri-st
4664,Indiana St,68,0.521739130435,0.154320987654,0.575757575758,0.239130434783,S Illinois,1,s-illinois
4685,Indiana St,82,0.666666666667,0.285792052259,0.636363636364,0.266666666667,Loyola-Chicago,1,loyola-chicago
4722,Iona,11,0.583333333333,0.134625740442,0.787878787879,0.458333333333,Cleveland St,1,cleveland-st
4753,Iona,50,0.603773584906,0.0933831376734,0.794117647059,0.415094339623,FL Gulf Coast,1,fl-gulf-coast
4763,Iona,111,0.481818181818,0.152983171851,0.653846153846,0.290909090909,Monmouth NJ,1,monmouth-nj
4786,Iowa St,14,0.55,0.138608870968,0.833333333333,0.25,Georgia St,1,georgia-st
4796,Iowa St,36,0.526785714286,0.17866258295,0.806451612903,0.25,Missouri KC,1,missouri-kc
4815,Iowa St,64,0.5,0.16155088853,0.870967741935,0.105263157895,Oklahoma St,1,oklahoma-st
4838,Kansas,11,0.433962264151,0.192585459798,0.852941176471,0.433962264151,Santa Barbara,1,santa-barbara
4862,Kansas St,29,0.608333333333,0.15557683102,0.885714285714,0.183333333333,NE Omaha,1,ne-omaha
4879,Lafayette,27,0.5625,0.119808306709,0.63829787234,0.339285714286,F Dickinson,1,f-dickinson
4944,Louisiana Tech,29,0.569230769231,0.091407678245,0.709677419355,0.384615384615,Northwestern LA,1,northwestern-la
4956,Louisiana Tech,45,0.598360655738,0.119553666312,0.514285714286,0.0983606557377,Nicholls St,1,nicholls-st
4975,Louisiana Tech,68,0.660377358491,0.150191152376,0.5625,0.264150943396,UT San Antonio,1,ut-san-antonio
4991,Louisiana Tech,87,0.5,0.127942681679,0.939393939394,0.112903225806,WKU,1,wku
5003,Louisiana Tech,103,0.542372881356,0.174912543728,0.702702702703,0.186440677966,Florida Intl,1,florida-intl
5024,Maryland,40,0.454545454545,0.155601659751,0.742857142857,0.309090909091,SC Upstate,1,sc-upstate
5128,Ohio St,44,0.620967741935,0.133043057571,0.766666666667,0.322580645161,NC A&T,1,nc-at
5151,Ohio St,54,0.710526315789,0.151668351871,0.739130434783,0.333333333333,Wright St,1,wright-st
5186,Penn St,41,0.443548387097,0.131648235914,0.638888888889,0.145161290323,G Washington,1,g-washington
5198,Purdue,37,0.584745762712,0.122970978849,0.694444444444,0.305084745763,Arkansas St,1,arkansas-st
5247,Texas,40,0.619047619048,0.290519877676,0.945945945946,0.166666666667,Texas St,1,texas-st
5264,Texas A&M,30,0.466101694915,0.104329681794,0.694444444444,0.186440677966,Sam Houston St,1,sam-houston-st
5272,Texas A&M,40,0.71568627451,0.172413793103,0.75,0.156862745098,Youngstown St,1,youngstown-st
5312,Utah,26,0.616666666667,0.0974658869396,0.735294117647,0.316666666667,Alabama St,1,alabama-st
5339,VA Commonwealth,49,0.6,0.117004680187,0.666666666667,0.2,ETSU,1,etsu
5353,Valparaiso,102,0.411764705882,0.208231259187,0.72972972973,0.411764705882,WI Green Bay,1,wi-green-bay
5408,Georgetown,15,0.547169811321,0.194647201946,0.689655172414,0.377358490566,TAM C. Christi,1,tam-c-christi
